line,lat,long,county_name,position,income2011,income2000,stop_name,county,tract,tract_lookup
1,40.864599,-73.918681,Manhattan,32,25121,47994,207 St.,61,29900,029900
1,40.869729,-73.914954,Manhattan,33,25121,47994,215 St.,61,29900,029900
1,40.874308,-73.909795,Manhattan,34,34354,25754,Marble Hill-225 St.,61,30900,030900
1,40.879091,-73.904538,the Bronx,35,38603,35362,231 St.,5,28300,028300
1,40.885226,-73.900439,the Bronx,36,38603,35362,238 St.,5,28300,028300
1,40.889946,-73.897798,the Bronx,37,42939,35634,Van Cortlandt Park-242 St.,5,28500,028500
2,40.63275,-73.947375,Brooklyn,1,37073,33822,Flatbush Ave.-Brooklyn College,47,78600,078600
2,40.639924,-73.948161,Brooklyn,2,40096,27623,Newkirk Ave.,47,83000,083000
2,40.645046,-73.948684,Brooklyn,3,34019,36866,Beverly Rd.,47,82600,082600
2,40.650748,-73.949384,Brooklyn,4,33816,31193,Church Ave.,47,82400,082400
2,40.657184,-73.949976,Brooklyn,5,44444,26287,Winthrop St.,47,80400,080400
2,40.663226,-73.95067,Brooklyn,6,37239,27454,Sterling St.,47,32900,032900
2,40.668145,-73.950458,Brooklyn,7,36607,33738,President St.,47,31900,031900
2,40.670732,-73.957696,Brooklyn,8,35233,26469,Franklin Ave.,47,21900,021900
2,40.672122,-73.964154,Brooklyn,9,59617,39489,Eastern Parkway-Brooklyn Museum,47,21500,021500
2,40.67511,-73.970822,Brooklyn,10,109329,67317,Grand Army Plaza,47,15900,015900
2,40.680695,-73.974748,Brooklyn,11,88036,55625,Bergen St.,47,12902,012902
2,40.683928,-73.978412,Brooklyn,12,87875,48024,Atlantic Ave.-Barclays Center,47,12901,012901
2,40.688085,-73.980243,Brooklyn,13,83688,45213,Nevins St.,47,3300,003300
2,40.690931,-73.98525,Brooklyn,14,66023,34375,Hoyt St.,47,1500,001500
2,40.692548,-73.990099,Brooklyn,15,79231,29732,Borough Hall,47,1100,001100
2,40.697649,-73.99306,Brooklyn,16,91250,65013,Clark St.,47,501,000501
2,40.707431,-74.008778,Manhattan,17,125124,81071,Wall St.,61,700,000700
2,40.711026,-74.00919,Manhattan,18,114412,81609,Fulton St.,61,1300,001300
2,40.712712,-74.007766,Manhattan,19,205192,128384,Park Place,61,2100,002100
2,40.715576,-74.009031,Manhattan,20,205192,128384,Chambers St.,61,2100,002100
2,40.737826,-74.000201,Manhattan,21,94292,81696,14 St.-7 Ave.,61,8100,008100
2,40.75102,-73.990323,Manhattan,22,155278,71641,34 St.-Penn Station,61,10900,010900
2,40.754301,-73.986623,Manhattan,23,118487,47813,Times Square-42 St.,61,11300,011300
2,40.779146,-73.981822,Manhattan,24,115833,75327,72 St.,61,15900,015900
2,40.794312,-73.972015,Manhattan,25,75481,53229,96 St.,61,18300,018300
2,40.799033,-73.952058,Manhattan,26,39338,25236,Central Park North (110 St.),61,21600,021600
2,40.802111,-73.949437,Manhattan,27,55469,16623,116 St.,61,19000,019000
2,40.807875,-73.945229,Manhattan,28,64286,24091,125 St.,61,20000,020000
2,40.814188,-73.940618,Manhattan,29,55591,29563,135 St.,61,21200,021200
2,40.818405,-73.927101,the Bronx,30,16580,25662,149 St.-Grand Concourse,5,5100,005100
2,40.816265,-73.917456,the Bronx,31,23670,17457,3 Ave.-149 St.,5,6500,006500
2,40.816873,-73.907379,the Bronx,32,28770,20813,Jackson Ave.,5,7500,007500
2,40.819684,-73.901348,the Bronx,33,26250,19615,Prospect Ave.,5,8700,008700
2,40.8224,-73.896508,the Bronx,34,17723,13214,Intervale Ave.,5,12901,012901
2,40.824358,-73.892724,the Bronx,35,14940,12342,Simpson St.,5,12701,012701
2,40.830177,-73.891482,the Bronx,36,17614,17906,Freeman St.,5,12300,012300
2,40.837306,-73.887287,the Bronx,37,18261,16308,174 St.,5,16100,016100
2,40.841078,-73.879397,the Bronx,38,14191,12723,West Farms Square-E Tremont Ave.,5,36100,036100
2,40.841453,-73.872892,the Bronx,39,13750,11190,E 180 St.,5,22000,022000
2,40.849128,-73.868213,the Bronx,40,34375,26042,Bronx Park East,5,23000,023000
2,40.858029,-73.867481,the Bronx,41,39609,30619,Pelham Parkway,5,33000,033000
2,40.865462,-73.867352,the Bronx,42,39609,,Allerton Ave.,5,33000,033000
2,40.871215,-73.867043,the Bronx,43,39611,25060,Burke Ave.,5,33800,033800
2,40.877779,-73.866185,the Bronx,44,36786,30893,Gun Hill Rd.,5,37800,037800
2,40.883439,-73.862743,the Bronx,45,34010,37222,219 St.,5,39000,039000
2,40.88766,-73.860444,the Bronx,46,37885,29773,225 St.,5,40600,040600
2,40.89337,-73.857265,the Bronx,47,47861,35078,233 St.,5,42200,042200
2,40.898323,-73.854288,the Bronx,48,42880,31327,Nereid Ave.,5,43400,043400
2,40.903509,-73.850124,the Bronx,49,38261,36475,Wakefield-241 St.,5,44200,044200
3,40.666285,-73.883276,Brooklyn,1,45769,32284,New Lots Ave.,47,112400,112400
3,40.665431,-73.888386,Brooklyn,2,45769,32284,Van Siclen Ave.,47,112400,112400
3,40.664869,-73.893779,Brooklyn,3,25242,21738,Pennsylvania Ave.,47,112600,112600
3,40.663426,-73.902636,Brooklyn,4,31656,24934,Junius St.,47,91800,091800
3,40.662401,-73.908809,Brooklyn,5,31656,24934,Rockaway Ave.,47,91800,091800
3,40.661558,-73.915225,Brooklyn,6,42431,32619,Saratoga Ave.,47,89400,089400
3,40.664891,-73.922675,Brooklyn,7,27104,17869,Sutter Ave.-Rutland Rd.,47,90000,090000
3,40.669102,-73.934213,Brooklyn,8,35072,27188,Crown Hts-Utica Ave.,47,35300,035300
3,40.669261,-73.941948,Brooklyn,9,41438,30763,Kingston Ave.,47,33700,033700
3,40.669711,-73.950247,Brooklyn,10,36607,33738,Nostrand Ave.,47,31900,031900
