name,lat,lon,address,city
Asian Food Market,38.882907,-94.793842,105 North Chester Street,Olathe
Hy-Vee,38.8838,-94.772697,16100 West 135th Street,Olathe
Price Chopper Pharmacy,38.882531,-94.780576,2101 East Santa Fe Street,Olathe
Taj Grocers,38.913468,-94.723929,11830 Quivira Road,Overland Park
asian grocery,38.914077,-94.702556,10138 West 119th Street,Overland Park
Costco,38.906906,-94.670999,12221 Blue Valley Parkway,Overland Park
Sweet Meadow Natural Market,38.869537,-94.425885,2294 Southwest Westminster Drive,Lee's Summit
Aldi,38.882763,-94.773444,16175 W 135th St,Olathe
K C India Mart,38.886593,-94.68486,8542 West 133rd Street,Overland Park
Sam's Club,38.885839,-94.683354,8300 West 135th Street,Overland Park
Aldi,38.884432,-94.685776,8640 W 135th St,Overland Park
Sam's Club,38.8858,-94.683265,8300 W 135th St,Overland Park
Hen House Market,38.884494,-94.667065,6900 West 135th Street,Overland Park
Price Chopper,38.885212,-94.628152,13351 Mission Road,Leawood
Cosentino's Price Chopper,38.850795,-94.379941,251 Southwest Greenwich Drive,Lee's Summit
Gibson's General Store,38.890563,-94.26616,12416 Missouri 7,Lee's Summit
Price Chopper,38.882481,-94.836076,175 North Parker Street,Olathe
Hen House Market #33,38.883848,-94.667686,6900 West 135th Street,Overland Park
Harvest Moon Natural Foods,38.85396,-94.780994,2113 East 151st Street,Olathe
Price Chopper,38.853573,-94.778657,16665 West 151st Street,Olathe
Apna Bazar,38.865942,-94.667177,14545 Metcalf Avenue,Overland Park
Price Chopper,38.85347,-94.669704,7201 W 151st St,Shawnee Mission
Price Chopper,38.85337,-94.669565,7201 W 151st St,Overland Park
Cosentino's Price Chopper,38.815316,-94.524979,109 North Cedar St.,Belton
Price Chopper,38.839189,-94.781413,15970 South Mur-Len Road,Olathe
Aldi,38.850447,-94.819876,20250 W 154th St,Olathe
Hy-Vee,38.827109,-94.789873,,Olathe
Cosentino's Price Chopper,38.811868,-94.469292,900 W Foxwood Dr,Raymore
Creekside Market,38.804676,-94.441484,800 East Walnut Street,Raymore
Cosentino Price Chopper,38.814226,-94.264799,2101 North State Route 7,Pleasant Hill
Sav-A-Lot,38.788582,-94.262091,309 North 7 Highway,Pleasant Hill
