"rfid_tag_id","location","antenna_port","action_type","content","product_style_id","product_name","customer_name","timestamp"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:40.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:45.000Z"
"ABBA00000000000000000131","Smart Shelf","1","leaderboardPush","","","","Martini Lesa","2014-01-29T03:25:46.000Z"
"ABBA00000000000000000085","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Hartley-Triesch Debbi","2014-01-29T03:25:47.000Z"
"ABBA00000000000000000070","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Frossmo Kristin","2014-01-29T03:25:48.000Z"
"ABBA00000000000000000187","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Schulle Joanne","2014-01-29T03:25:49.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:49.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:49.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:54.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:25:59.000Z"
"ABBA00000000000000000223","Digital Mannequin","2","leaderboardPush","","","","Wilkos Steve","2014-01-29T03:26:02.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:26:04.000Z"
"DD000000000000000000137C","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","2865406","Synovia Cedar Shoe Valet","","2014-01-29T03:26:04.000Z"
