StationName	LINE_ID	Line	Title	Color	stop_lon	stop_lat	ROUTE	TERMINUS	WkdyEntry
Pleasant Street	BGREEN09	Green Line	Green Line (B)	4A8E14	-71.11906016	42.35148965	B - Boston College	N	1014
Babcock Street	BGREEN10	Green Line	Green Line (B)	4A8E14	-71.12171519	42.35180887	B - Boston College	N	1824
Packards Corner	BGREEN11	Green Line	Green Line (B)	4A8E14	-71.12522583	42.35178581	B - Boston College	N	1571
Harvard Avenue	BGREEN12	Green Line	Green Line (B)	4A8E14	-71.13100726	42.35041177	B - Boston College	N	4077
Griggs Street	BGREEN13	Green Line	Green Line (B)	4A8E14	-71.13436463	42.34881951	B - Boston College	N	1260
Allston Street	BGREEN14	Green Line	Green Line (B)	4A8E14	-71.1376368	42.34857609	B - Boston College	N	1115
Warren Street	BGREEN15	Green Line	Green Line (B)	4A8E14	-71.14024039	42.34862365	B - Boston College	N	1650
Washington Street	BGREEN16	Green Line	Green Line (B)	4A8E14	-71.14254885	42.34412329	B - Boston College	N	1723
Sutherland Road	BGREEN17	Green Line	Green Line (B)	4A8E14	-71.1463299	42.3415615	B - Boston College	N	923
Chiswick Road	BGREEN18	Green Line	Green Line (B)	4A8E14	-71.15095132	42.34061808	B - Boston College	N	735
Chestnut Hill Avenue	BGREEN19	Green Line	Green Line (B)	4A8E14	-71.1526553	42.33857777	B - Boston College	N	861
South Street	BGREEN20	Green Line	Green Line (B)	4A8E14	-71.15726166	42.33945404	B - Boston College	N	237
Boston College	BGREEN21	Green Line	Green Line (B)	4A8E14	-71.16702496	42.34015544	B - Boston College	Y	1042
Copley	CGREEN01	Green Line	Green Line (C)	4A8E14	-71.07797545	42.3499076
Hynes Convention Ctr/ICA	CGREEN02	Green Line	Green Line (C)	4A8E14	-71.08731456	42.34798229
Kenmore	CGREEN03	Green Line	Green Line (C)	4A8E14	-71.09554477	42.34899687
Saint Marys Street	CGREEN04	Green Line	Green Line (C)	4A8E14	-71.10723956	42.34598737	C - Cleveland Circle	N	1970
Hawes Street	CGREEN05	Green Line	Green Line (C)	4A8E14	-71.1111748	42.34485992	C - Cleveland Circle	N	426
Kent Street	CGREEN06	Green Line	Green Line (C)	4A8E14	-71.11429129	42.34401012	C - Cleveland Circle	N	510
Saint Paul Street C	CGREEN07	Green Line	Green Line (C)	4A8E14	-71.11718909	42.34321043	C - Cleveland Circle	N	935
Coolidge Corner	CGREEN08	Green Line	Green Line (C)	4A8E14	-71.12129544	42.34214999	C - Cleveland Circle	N	4150
Summit Ave/Winchester St	CGREEN09	Green Line	Green Line (C)	4A8E14	-71.12578787	42.34102837	C - Cleveland Circle	N	1175
Brandon Hall	CGREEN10	Green Line	Green Line (C)	4A8E14	-71.1286572	42.34005364	C - Cleveland Circle	N	316
Fairbanks Street	CGREEN11	Green Line	Green Line (C)	4A8E14	-71.13129703	42.33964026	C - Cleveland Circle	N	585
Washington Square	CGREEN12	Green Line	Green Line (C)	4A8E14	-71.13536708	42.33932742	C - Cleveland Circle	N	1217
Tappan Street	CGREEN13	Green Line	Green Line (C)	4A8E14	-71.13844138	42.33851882	C - Cleveland Circle	N	837
Dean Road	CGREEN14	Green Line	Green Line (C)	4A8E14	-71.14195534	42.33771434	C - Cleveland Circle	N	316
Englewood Avenue	CGREEN15	Green Line	Green Line (C)	4A8E14	-71.14549839	42.3369848	C - Cleveland Circle	N	585
Cleveland Circle	CGREEN16	Green Line	Green Line (C)	4A8E14	-71.14928663	42.33613671	C - Cleveland Circle	Y	1557
Copley	DGREEN01	Green Line	Green Line (D)	4A8E14	-71.07797545	42.3499076
Hynes Convention Ctr/ICA	DGREEN02	Green Line	Green Line (D)	4A8E14	-71.08731456	42.34798229
Kenmore	DGREEN03	Green Line	Green Line (D)	4A8E14	-71.09554477	42.34899687	B C D	N	8653
Fenway Park	DGREEN04	Green Line	Green Line (D)	4A8E14	-71.10460443	42.34515864	D - Riverside	N	3041
Longwood	DGREEN05	Green Line	Green Line (D)	4A8E14	-71.10993457	42.34166912	D - Riverside	N	2749
Brookline Village	DGREEN06	Green Line	Green Line (D)	4A8E14	-71.11682794	42.33259466	D - Riverside	N	3512
Brookline Hills	DGREEN07	Green Line	Green Line (D)	4A8E14	-71.1267274	42.33129459	D - Riverside	N	1654
Beaconsfield	DGREEN08	Green Line	Green Line (D)	4A8E14	-71.14025927	42.33569218	D - Riverside	N	896
Reservoir	DGREEN09	Green Line	Green Line (D)	4A8E14	-71.14837902	42.33513991	D - Riverside	N	3395
Chestnut Hill	DGREEN10	Green Line	Green Line (D)	4A8E14	-71.16460873	42.32674178	D - Riverside	N	778
Newton Centre	DGREEN11	Green Line	Green Line (D)	4A8E14	-71.19236981	42.32941549	D - Riverside	N	1487
Newton Highlands	DGREEN12	Green Line	Green Line (D)	4A8E14	-71.20550186	42.32235408	D - Riverside	N	1052
Eliot	DGREEN13	Green Line	Green Line (D)	4A8E14	-71.21658805	42.31897817	D - Riverside	N	595
Waban	DGREEN14	Green Line	Green Line (D)	4A8E14	-71.23069342	42.32587772	D - Riverside	N	427
Woodland	DGREEN15	Green Line	Green Line (D)	4A8E14	-71.2432679	42.33283282	D - Riverside	N	1044
Riverside	DGREEN16	Green Line	Green Line (D)	4A8E14	-71.25255434	42.33739841	D - Riverside	Y	2191
Copley	EGREEN01	Green Line	Green Line (E)	4A8E14	-71.07797545	42.3499076
Prudential	EGREEN02	Green Line	Green Line (E)	4A8E14	-71.08119909	42.34576811	E - Health Street	N	3732
Symphony	EGREEN03	Green Line	Green Line (E)	4A8E14	-71.08494061	42.34272034	E - Health Street	N	1993
Northeastern	EGREEN04	Green Line	Green Line (E)	4A8E14	-71.08965206	42.34005063	E - Health Street	N	3007
Museum of Fine Arts	EGREEN05	Green Line	Green Line (E)	4A8E14	-71.09497605	42.33792514	E - Health Street	N	1676
Longwood Medical Area	EGREEN06	Green Line	Green Line (E)	4A8E14	-71.099561	42.33614101	E - Health Street	N	3800
Brigham Circle	EGREEN07	Green Line	Green Line (E)	4A8E14	-71.10372419	42.33457105	E - Health Street	N	2535
Fenwood Road	EGREEN08	Green Line	Green Line (E)	4A8E14	-71.10564567	42.33374541	E - Health Street	N	343
Mission Park	EGREEN09	Green Line	Green Line (E)	4A8E14	-71.10958496	42.33317941	E - Health Street	N	462
Back Of The Hill	EGREEN10	Green Line	Green Line (E)	4A8E14	-71.11107041	42.32963825	E - Health Street	N	86
Riverway	EGREEN11	Green Line	Green Line (E)	4A8E14	-71.11195067	42.33197801	E - Health Street	N	664
